no,nama_pbphh,kantor,pabrik,no_izin,direktur,skala,wilayah
66,UD  UD. BERKAH BERSAMA, Dusun Jarakan RT. 022 RW. 005 Desa Karangsoko Kec. Trenggalek Kab.Trenggalek, Dusun Jarakan RT. 022 RW. 005 Desa Karangsoko Kec. Trenggalek Kab.Trenggalek,63/14.01.1/01/VIII/2023 / 21 Agustus 2023,WAHYUDI,kecil,1
67,UD UD. MANDIRI JAYA, Dusun Banjar RT. 015 RW. 002 Desa Banjar Kec. Panggul Kab. Trenggalek, Dusun Banjar RT. 015 RW. 002 Desa Banjar Kec. Panggul Kab. Trenggalek, 65/14.01.1/01/IX/2023 / 06 September 2023,NURKOLIK,kecil,1
68,UD UD. JAGAL KAYU, Dusun Suren RT. 011 RW. 004 Desa Surenlor Kec. Bendungan Kab.Trenggalek,Dusun Suren RT. 009 RW. 004 Desa Surenlor Kec. Bendungan Kab.Trenggalek,67/14.01.1/01/IX/2023 / 13 September 2023,HARTONO,kecil,1
69,UD UD. CAHYA JATI,Dusun Wates RT. 003 RW. 002 Desa Ngulankulon Kec Pogalan Kab Trenggalek,Dusun Wates RT. 003 RW. 002 Desa Ngulankulon Kec Pogalan Kab Trenggalek,68/14.01.1/01/IX/2023 / 18 September 2023,YULIANTO,kecil,1
70,UD UD. SUMBER REJEKI,Dusun Sumber RT. 012 RW. 006 Desa Ngulanwetan Kec. Pogalan Kab.Trenggalek,Dusun Beran RT. 018 RW. 006 Desa Gembleb Kec. Pogalan Kab. Trenggalek,73/14.01.1/01/IX/2023 / 19 September 2023,PARLAN,kecil,1
71,UD UD. MANDIRI SDN BHD," RT 052 RW 015 Dusun Sidem, Desa Jombok, Kec. Pule, Kab. Trenggalek"," RT 052 RW 015 Dusun Sidem, Desa Jombok, Kec. Pule, Kab. Trenggalek",72/14.01.1/01/IX/2023 / 19 September 2023,SABARIYADI,kecil,1
72,UD UD. NOVRI PUTRA,"RT. 016 RW. 004, Desa Baruharjo Kecamatan Durenan Kabupaten Trenggalek","RT. 016 RW. 004, Desa Baruharjo Kecamatan Durenan Kabupaten Trenggalek",79/14.01.1/01/X/2023 / 26 Oktober 2023,YOYOK EDI PURWANTO,kecil,1
73,UD UD. SYAILENDRA JAYA,Dusun Kacangan RT. 025 RW. 012 Desa Ngrayung Kec. Gandusari Kab. Trenggalek,Dusun Kacangan RT. 025 RW. 012 Desa Ngrayung Kec. Gandusari Kab. Trenggalek,85/14.01.1/01/XI/2023 / 13 November 2023,WASINO,kecil,1
74,UD UD. AL- BURAQ,Dusun Krajan RT. 008 RW. 004 Desa Bogoran Kec. Kampak Kab. Trenggalek,Dusun Krajan RT. 008 RW. 004 Desa Bogoran Kec. Kampak Kab. Trenggalek,96/14.01.1/01/XII/2023 / 12 Desember 2023,EGAYUDI ARSADA,kecil,1
75,UD BUNGA CITRA LESTARI,"Ds. Ngrayung RT. 017 RW. 08, Kec. Gandusari","Ds. Ngrayung RT. 017 RW. 08, Kec. Gandusari",P2T/15/14.02/VII/2010,SUBANGI,menengah,1
76,UD KAYU INDAH LESTARI,"Ds. Dongko RT.016 RW.004,  Kec. Dongko","Ds. Dongko RT.016 RW.004,  Kec. Dongko",P2T/11/14.02/VII/2010,EDY SUPRAPTO,menengah,1
77,UD MITRA JATI PERKASA,"Ds. Munjungan RT. 05 RW. 01, Kec. Munjungan","Ds. Munjungan RT. 05 RW. 01, Kec. Munjungan",P2T/13/14.02/VII/2010,GUNARYANTO,menengah,1
